[20:01:45] [plugins/mysql] cache_set_active: invalid cache id '0' (DIALOG.pwn:18)
[20:01:45] [plugins/mysql] cache_get_value_name: no active cache (NATIVE.pwn:37 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:39 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:40 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:41 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_float: no active cache (NATIVE.pwn:42 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_float: no active cache (NATIVE.pwn:43 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_float: no active cache (NATIVE.pwn:44 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_float: no active cache (NATIVE.pwn:45 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:46 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:47 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_float: no active cache (NATIVE.pwn:48 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_float: no active cache (NATIVE.pwn:49 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:50 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:51 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:52 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:53 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:54 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:55 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:56 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:57 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:58 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:59 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:60 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:61 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:62 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:63 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:64 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:65 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:66 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:67 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:68 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:69 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:70 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:71 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:72 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:73 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:74 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:75 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:76 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:77 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:78 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:79 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:80 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:81 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:82 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:83 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:84 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:85 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:87 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:88 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:89 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:90 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:91 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:92 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:93 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:94 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:95 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:96 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:97 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:98 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:99 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:101 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:102 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:103 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:104 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:105 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:106 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:107 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:108 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:109 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:110 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:111 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:112 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:113 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_delete: invalid cache id '0' (DIALOG.pwn:22)
